HHID,Migration,Internal migration,International migration,Age (HH head),Female (HH head),Secondary education (HH head),HH size,Ethnic minority,Sex ratio,Married females,Married males,ln(savings + 1),Nonfarm income,Temp. anomaly (+),Temp. anomaly (-),Prec. anomaly (+),Prec. anomaly (-),zone,region,kebele
20712,0,1,2,57.0,0.0,0.0,9.0,0,0.4444444444444444,0.25,0.2,9.472781556562168,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
30723,0,0,0,38.0,0.0,0.0,8.0,0,0.75,0.1666666666666666,0.5,0.0,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
30724,0,0,0,48.0,0.0,0.0,11.0,0,0.4545454545454545,0.2,0.1666666666666666,0.0,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
40123,0,0,0,50.0,0.0,0.0,7.0,0,0.5714285714285714,0.25,0.3333333333333333,0.0,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,121.0
60711,0,0,0,70.0,1.0,0.0,3.0,0,0.3333333333333333,1.0,0.5,5.303304908059076,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,711.0
70111,2,2,0,48.0,1.0,0.0,5.0,0,0.4,1.0,0.3333333333333333,4.61512051684126,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
80711,2,1,2,40.0,0.0,0.0,11.0,0,0.7272727272727273,0.25,0.6666666666666666,9.210440366976515,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,711.0
80712,0,0,0,35.0,0.0,0.0,6.0,0,0.5,0.0,0.0,6.398594934535208,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
100123,2,0,2,50.0,0.0,0.0,5.0,0,0.6,0.3333333333333333,0.5,0.0,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,121.0
100724,2,2,2,80.0,0.0,0.0,7.0,0,0.4285714285714285,0.6666666666666666,0.25,0.0,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
140712,2,2,2,65.0,0.0,1.0,8.0,0,0.375,0.3333333333333333,0.4,9.210440366976515,1.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
160711,0,2,1,46.0,0.0,0.0,8.0,0,0.25,0.5,0.1666666666666666,5.525452939131784,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,711.0
170112,1,1,2,45.0,0.0,0.0,10.0,0,0.5,0.2,0.4,2.3978952727983707,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,112.0
200111,2,2,1,60.0,1.0,0.0,5.0,0,0.2,0.0,0.0,6.90875477931522,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
230112,2,0,2,68.0,0.0,1.0,9.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,112.0
230711,0,0,0,85.0,0.0,0.0,6.0,1,0.6666666666666666,0.25,0.5,0.0,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,711.0
260111,1,1,0,45.0,0.0,0.0,7.0,0,0.7142857142857143,0.2,0.5,4.61512051684126,1.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
260711,2,2,2,60.0,0.0,0.0,9.0,0,0.4444444444444444,0.5,0.8,0.0,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,711.0
300112,0,0,0,38.0,0.0,0.0,8.0,0,0.625,0.4,0.3333333333333333,6.2166061010848646,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,112.0
300723,2,2,0,55.0,0.0,0.0,8.0,0,0.5,0.25,0.25,0.0,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
350711,1,1,2,55.0,0.0,0.0,9.0,0,0.4444444444444444,0.5,0.4,0.0,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,711.0
360712,2,2,2,58.0,0.0,0.0,9.0,0,0.5555555555555556,0.2,0.5,6.2166061010848646,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
404222,1,0,1,42.0,0.0,1.0,5.0,1,0.4,0.5,0.3333333333333333,7.601402334583733,0.0,10.82193004126784,-10.041669097613656,-5.10283144680966,-3.9297380403708218,Arsi,Oromia,422.0
410711,2,0,2,65.0,1.0,0.0,7.0,1,0.2857142857142857,0.5,0.4,8.006700845440367,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,711.0
430711,0,0,0,37.0,0.0,0.0,6.0,1,0.6666666666666666,0.25,0.0,5.303304908059076,1.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,711.0
430724,1,0,1,40.0,0.0,0.0,9.0,0,0.5555555555555556,0.2,0.25,0.0,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
